P#,Document,Extension,Jenis,SortCategory,Category,SortTopic,Topic,Date,LastUpdated,MIMEType,Size,ID,url
5,Pengurangan atau Pembatalan STP yang Tidak Benar,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",1,Pasal 36 UU KUP,Tue Feb 18 2020 09:25:39 GMT+0800 (HKT),Tue Feb 18 2020 09:37:38 GMT+0800 (HKT),document,0,1NFdbUBbn9PTQJ4A-zkkwmI6t1nrfY8VjiDlWwfPPX2g,https://docs.google.com/document/d/1NFdbUBbn9PTQJ4A-zkkwmI6t1nrfY8VjiDlWwfPPX2g/edit?usp=drivesdk
3,Pengurangan Atau Penghapusan Sanksi Administrasi Pada SKP dan STP,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",1,Pasal 36 UU KUP,Tue Feb 18 2020 09:25:24 GMT+0800 (HKT),Tue Feb 18 2020 09:37:37 GMT+0800 (HKT),document,0,1fcW4TDIUB8UJsXV0LnZtRsGVg82aPRs4sy4ouxsbI9I,https://docs.google.com/document/d/1fcW4TDIUB8UJsXV0LnZtRsGVg82aPRs4sy4ouxsbI9I/edit?usp=drivesdk
8,Pengurangan Atau Penghapusan Sanksi Administrasi Atas SPT,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",1,Pasal 36 UU KUP,Tue Feb 18 2020 09:24:41 GMT+0800 (HKT),Tue Feb 18 2020 09:37:36 GMT+0800 (HKT),document,0,153S4JNj3jdsKETj_EBQvE30ypmcAiFoc59zMPzbeQwU,https://docs.google.com/document/d/153S4JNj3jdsKETj_EBQvE30ypmcAiFoc59zMPzbeQwU/edit?usp=drivesdk
6,permohonan pembatalan SKP hasil pemeriksaan atau verifikasi,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",1,Pasal 36 UU KUP,Tue Feb 18 2020 09:25:14 GMT+0800 (HKT),Tue Feb 18 2020 09:25:23 GMT+0800 (HKT),document,0,1JNyQ0HxOYLx7tKOQHYKDEbti5ZeMmocYoINdDe6mDGg,https://docs.google.com/document/d/1JNyQ0HxOYLx7tKOQHYKDEbti5ZeMmocYoINdDe6mDGg/edit?usp=drivesdk
1,Keberatan,,KUP,6,Keberatan,,,Tue Feb 18 2020 09:15:46 GMT+0800 (HKT),Tue Feb 18 2020 09:23:32 GMT+0800 (HKT),document,0,1yseivm1_-YTfDMh-THdOD610VuKhvYJRchfiyG4pd7U,https://docs.google.com/document/d/1yseivm1_-YTfDMh-THdOD610VuKhvYJRchfiyG4pd7U/edit?usp=drivesdk
2,Penagihan Pajak,,KUP,5,Penagihan Pajak,,,Tue Feb 18 2020 08:56:42 GMT+0800 (HKT),Tue Feb 18 2020 09:00:06 GMT+0800 (HKT),document,0,18gWirIPnEDbrrgjENjytYQGWmONufucYeP5T09rqURk,https://docs.google.com/document/d/18gWirIPnEDbrrgjENjytYQGWmONufucYeP5T09rqURk/edit?usp=drivesdk
2,Ketentuan terkait Penagihan pajak,,KUP,5,Penagihan Pajak,,,Tue Feb 18 2020 08:56:36 GMT+0800 (HKT),Tue Feb 18 2020 08:59:57 GMT+0800 (HKT),document,0,1FnPx2eqIvGodnTE8TCyrjyI71AsBuAI8mNDQJxvS-tU,https://docs.google.com/document/d/1FnPx2eqIvGodnTE8TCyrjyI71AsBuAI8mNDQJxvS-tU/edit?usp=drivesdk
1,Jadwal Waktu Penagihan Pajak,,KUP,5,Penagihan Pajak,,,Tue Feb 18 2020 08:56:48 GMT+0800 (HKT),Tue Feb 18 2020 08:59:51 GMT+0800 (HKT),document,0,1khY4ADQBdaSdex9xqCqAfdoZ3xu5Gqr-rtEtJO0FJa8,https://docs.google.com/document/d/1khY4ADQBdaSdex9xqCqAfdoZ3xu5Gqr-rtEtJO0FJa8/edit?usp=drivesdk
4,kode MAP SSBP untuk biaya pelaksanaan SP SPMP Pengumuman Lelang dan Pembatalan lelang,,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:38:09 GMT+0800 (HKT),Thu Feb 20 2020 09:56:32 GMT+0800 (HKT),document,0,1HO3FL6CktS7_DlrKa91pc0fOTQXgAo1B2yZzGAijLq8,https://docs.google.com/document/d/1HO3FL6CktS7_DlrKa91pc0fOTQXgAo1B2yZzGAijLq8/edit?usp=drivesdk
7,Tabel Kode Ketetapan per Jenis Pajak (Kode SKP STP),,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:37:36 GMT+0800 (HKT),Thu Feb 20 2020 09:55:22 GMT+0800 (HKT),document,0,1m-H9nscBK34SJ2H6Nj2Xzy4zYq8NtlnEuNnrd38a6WQ,https://docs.google.com/document/d/1m-H9nscBK34SJ2H6Nj2Xzy4zYq8NtlnEuNnrd38a6WQ/edit?usp=drivesdk
6,Jangka Waktu Pembayaran Pajak dan Jangka Waktu Pelunasan STP SKPKB SKPKBT dll,,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:37:29 GMT+0800 (HKT),Thu Feb 20 2020 09:53:13 GMT+0800 (HKT),document,0,1J1MwEnAFFfbDjtVmslefAiv03kCzhAFCh6DK617mi7M,https://docs.google.com/document/d/1J1MwEnAFFfbDjtVmslefAiv03kCzhAFCh6DK617mi7M/edit?usp=drivesdk
12,Sistem Pembayaran Pajak secara Elektronik (Billing System) (Ketentuan sejak 4 April 2017),,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:37:52 GMT+0800 (HKT),Tue Feb 18 2020 08:44:24 GMT+0800 (HKT),document,0,1cqwsJvFm6Zgvpk4V1lMzvL2SGwaMrHuReV1L98ok_vU,https://docs.google.com/document/d/1cqwsJvFm6Zgvpk4V1lMzvL2SGwaMrHuReV1L98ok_vU/edit?usp=drivesdk
11,Sistem Pembayaran Pajak secara Elektronik (Billing System) (Ketentuan sejak 13 Oktober 2014),,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:37:43 GMT+0800 (HKT),Tue Feb 18 2020 08:44:16 GMT+0800 (HKT),document,0,1sSmzwV5KOxAZvQbWi-N0ujtixCRbH_Zh63I1wneIGzc,https://docs.google.com/document/d/1sSmzwV5KOxAZvQbWi-N0ujtixCRbH_Zh63I1wneIGzc/edit?usp=drivesdk
10,penundaan pembayaran PPh pasal 29 tahun 2013 bagi WP industri tertentu,,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:38:17 GMT+0800 (HKT),Tue Feb 18 2020 08:44:07 GMT+0800 (HKT),document,0,1MTt8FDZHwks1ZkTkbsTaXvjQ541BHawVfiol5gvqXHI,https://docs.google.com/document/d/1MTt8FDZHwks1ZkTkbsTaXvjQ541BHawVfiol5gvqXHI/edit?usp=drivesdk
9,3Tabel Kode MAP dan KJS Lengkap,,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:38:24 GMT+0800 (HKT),Tue Feb 18 2020 08:44:00 GMT+0800 (HKT),document,0,1bJA4ygXU68x5trxogMMMBTK0JpT62R63hsntZTGKEgQ,https://docs.google.com/document/d/1bJA4ygXU68x5trxogMMMBTK0JpT62R63hsntZTGKEgQ/edit?usp=drivesdk
8,Tabel Kode MAP dan KJS Lengkap,,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:36:59 GMT+0800 (HKT),Tue Feb 18 2020 08:43:53 GMT+0800 (HKT),spreadsheet,0,1E3QhBXyC63mq_O7cBUbPlGkVktz549xUNf1AExWlOw0,https://docs.google.com/spreadsheets/d/1E3QhBXyC63mq_O7cBUbPlGkVktz549xUNf1AExWlOw0/edit?usp=drivesdk
5,Biaya Penagihan Pajak,,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:38:00 GMT+0800 (HKT),Tue Feb 18 2020 08:43:33 GMT+0800 (HKT),document,0,1gCspx8SxW27L-FBzrcrcU40RKxVbdnFZeTOWnJjzSvU,https://docs.google.com/document/d/1gCspx8SxW27L-FBzrcrcU40RKxVbdnFZeTOWnJjzSvU/edit?usp=drivesdk
3,Tata Cara Angsuran Dan Penundaan Pembayaran Pajak,,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:37:02 GMT+0800 (HKT),Tue Feb 18 2020 08:43:16 GMT+0800 (HKT),document,0,1X0vTYINR6cgUL8WWB1dZS_tTvJ-e2tHHEUpsbklMFwk,https://docs.google.com/document/d/1X0vTYINR6cgUL8WWB1dZS_tTvJ-e2tHHEUpsbklMFwk/edit?usp=drivesdk
2,Permohonan Pemindahbukuan (Pbk),,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:37:10 GMT+0800 (HKT),Tue Feb 18 2020 08:42:44 GMT+0800 (HKT),document,0,1A9Ya-nKNKix2HkFZUgkmlWEGudjCqQqxm8mSnUjQx_s,https://docs.google.com/document/d/1A9Ya-nKNKix2HkFZUgkmlWEGudjCqQqxm8mSnUjQx_s/edit?usp=drivesdk
1,Pembayaran atau Penyetoran pajak,,KUP,4,Pembayaran atau Penyetoran,,,Mon Feb 17 2020 16:37:22 GMT+0800 (HKT),Mon Feb 17 2020 17:34:35 GMT+0800 (HKT),document,0,1Dv7Xba9yaEmSSH4qrbIeLmPX6aoSUZXB4wHEmA7Ky1E,https://docs.google.com/document/d/1Dv7Xba9yaEmSSH4qrbIeLmPX6aoSUZXB4wHEmA7Ky1E/edit?usp=drivesdk
2,SPT Tahunan PPh Migas,,KUP,3,SPT,3,SPT Tahunan PPh Badan,Mon Feb 17 2020 16:22:43 GMT+0800 (HKT),Mon Feb 17 2020 16:34:27 GMT+0800 (HKT),document,0,1HjjVnKY3oa_b-Mscj9U9e8F-wwrN99QNEr29WGO8U90,https://docs.google.com/document/d/1HjjVnKY3oa_b-Mscj9U9e8F-wwrN99QNEr29WGO8U90/edit?usp=drivesdk
1,SPT Tahunan PPh Badan,,KUP,3,SPT,3,SPT Tahunan PPh Badan,Mon Feb 17 2020 16:22:30 GMT+0800 (HKT),Mon Feb 17 2020 16:34:21 GMT+0800 (HKT),document,0,1R8g0hBNcXCOH8h5Gbd5BU7ALHEGh-qt2qB-YNZm8xfE,https://docs.google.com/document/d/1R8g0hBNcXCOH8h5Gbd5BU7ALHEGh-qt2qB-YNZm8xfE/edit?usp=drivesdk
6,SPT 1111 DM sejak Masa Juni 2013,,KUP,3,SPT,6,SPT Masa PPN,Mon Feb 17 2020 16:23:10 GMT+0800 (HKT),Mon Feb 17 2020 16:32:49 GMT+0800 (HKT),document,0,1UG0i4tT_U1W2QO9gVLNDaQQeG3SmbUJV1sabL6tkRMw,https://docs.google.com/document/d/1UG0i4tT_U1W2QO9gVLNDaQQeG3SmbUJV1sabL6tkRMw/edit?usp=drivesdk
